Assembly Bucket,Source Strategy,Purchase Spec,Candidate MPN,Candidate JLCPCB Part #,LCSC Part #,Quantity,Designators,Raw BOM Comments,Footprints,Notes
SMT candidate,JLC/LCSC stock,"0.1uF 0805 MLCC, X7R/X5R, 16V minimum",,,,4,"C1,C2,C3,C12",0.1uF,C_0805_2012Metric,
SMT candidate,JLC/LCSC stock,"100k 0805 resistor, 1%, 1/8W minimum",,,,14,"R68,R71,R74,R77,R80,R83,R89,R92,R95,R98,R100,R106,R108,R110",100k,R_0805_2012Metric,
SMT candidate,JLC/LCSC stock,"10k 0805 resistor, 1%, 1/8W minimum",,,,37,"R4,R6,R8,R10,R12,R14,R16,R18,R20,R22,R24,R26,R28,R30,R32,R34,R36,R38,R40,R42,R44,R46,R48,R50,R52,R54,R56,R58,R60,R62,R64,R66,R101,R103,R105,R107,R109",10k,R_0805_2012Metric,
SMT candidate,JLC/LCSC stock,"10nF 0805 MLCC, X7R/C0G, 50V preferred",,,,1,C13,10nF,C_0805_2012Metric,
SMT candidate,JLC/LCSC stock,"10uF 0805 MLCC, X5R/X7R, 16V preferred",,,,1,C14,10uF,C_0805_2012Metric,Verify DC-bias derating is acceptable on 5V rail.
SMT candidate,JLC/LCSC stock,"1N4148WS or equivalent small-signal diode, SOD-323",,JLC candidate C118873,,8,"D1,D3,D5,D7,D9,D11,D15,D16",1N4148,D_SOD-323,
SMT candidate,JLC/LCSC stock,"1k 0805 resistor, 1%, 1/8W minimum",,,,12,"R67,R70,R73,R76,R79,R82,R88,R91,R94,R97,R102,R104",1k,R_0805_2012Metric,
SMT candidate,JLC/LCSC stock,"2N7002 N-channel MOSFET, SOT-23",,JLC candidate C916396,,4,"Q8,Q9,Q10,Q11",2N7002 LED L_FIRST | 2N7002 LED L_FOUL | 2N7002 LED L_SECOND | 2N7002 LED L_STRIKE,SOT-23,
SMT candidate,JLC/LCSC stock,"2k2 0805 resistor, 1%, 1/8W minimum",,,,32,"R3,R5,R7,R9,R11,R13,R15,R17,R19,R21,R23,R25,R27,R29,R31,R33,R35,R37,R39,R41,R43,R45,R47,R49,R51,R53,R55,R57,R59,R61,R63,R65",2k2,R_0805_2012Metric,
SMT candidate,JLC/LCSC stock,"330R 0805 resistor, 1%, 1/8W minimum",,,,4,"R90,R93,R96,R99",330R,R_0805_2012Metric,
SMT candidate,JLC/LCSC stock,"4.7k 0805 resistor, 1%, 1/8W minimum",,,,2,"R1,R2",4.7k,R_0805_2012Metric,
SMT candidate,JLC/LCSC stock,"AO3400A or equivalent logic-level N-channel MOSFET, SOT-23",,JLC candidate C20917,,2,"Q12,Q13",AO3400A kick | AO3400A wdog,SOT-23,
SMT candidate,JLC/LCSC stock,"AO3401A or equivalent P-channel MOSFET, SOT-23",,JLC candidate C347476,,1,Q14,AO3401A rail pass,SOT-23,
SMT candidate,JLC/LCSC stock,"MMBT3904 NPN transistor, SOT-23",,JLC candidate C909754,,8,"Q1,Q2,Q3,Q4,Q5,Q6,Q15,Q16",MMBT3904 AND ARM | MMBT3904 AND RP_OK | MMBT3904 BE | MMBT3904 M | MMBT3904 M2 | MMBT3904 S | MMBT3904 SP | MMBT3904 T,SOT-23,
SMT candidate,JLC/LCSC stock,"NE555 timer, SOIC-8",NE555D / TLC555-compatible only if timing verified,,,1,U36,NE555,SOIC-8_3.9x4.9mm_P1.27mm,No locked JLC part yet; select an in-stock bipolar 555 compatible with the watchdog timing circuit.
SMT candidate,JLC/LCSC stock,"SS14 Schottky diode, SMA",,JLC candidate C2480,,1,D17,SS14,D_SMA,
SMT candidate - verify footprint,JLC/LCSC stock or exact substitute,"100uF 16V SMD electrolytic, 6.3x5.4mm footprint",,,,1,C11,100uF/16V,CP_Elec_6.3x5.4,Polarized part; verify can diameter and pad geometry against selected part.
SMT candidate - stock verify,JLC/LCSC stock or pre-order,"MCP23017 I/O expander, SOIC-28W 7.5mm body, 1.27mm pitch",MCP23017-E/SO or MCP23017T-E/SO,JLC candidate C47023,,3,"U1,U2,U3",MCP23017 MCP_IN_A | MCP23017 MCP_IN_B | MCP23017 MCP_OUT_A,SOIC-28W_7.5x17.9mm_P1.27mm,Confirm package width and I2C address variant; do not substitute SPI MCP23S17.
THT assembly / verify,"JLC THT, consign, or hand-solder","10-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,1,J3,J_FAST_IN,"PhoenixContact_MCV_1,5_10-G-3.5_1x10_P3.50mm_Vertical",Order matching off-board plugs separately; verify latching/keying and orientation.
THT assembly / verify,"JLC THT, consign, or hand-solder","12-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,1,J5,J_SLOW_IN_B,"PhoenixContact_MCV_1,5_12-G-3.5_1x12_P3.50mm_Vertical",Order matching off-board plugs separately; verify latching/keying and orientation.
THT assembly / verify,"JLC THT, consign, or hand-solder","14-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,1,J4,J_SLOW_IN_A,"PhoenixContact_MCV_1,5_14-G-3.5_1x14_P3.50mm_Vertical",Order matching off-board plugs separately; verify latching/keying and orientation.
THT assembly / verify,"JLC THT, consign, or hand-solder","2-position fixed screw terminal block, 5.08mm pitch, horizontal wire entry","Phoenix MKDS 1,5 series or footprint-compatible",JLC candidate C5183929,,6,"J6,J7,J8,J9,J10,J11",J_MOTION_BE 5.08mm | J_MOTION_M 5.08mm | J_MOTION_M2 5.08mm | J_MOTION_S 5.08mm | J_MOTION_SP 5.08mm | J_MOTION_T 5.08mm,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","Verify pin pitch, drill size, body keepout, and wire-entry direction."
THT assembly / verify,JLC THT or consign,"2x10 vertical IDC/shrouded header, 2.54mm pitch",,,,1,J1,J_PI,IDC-Header_2x10_P2.54mm_Vertical,Confirm cable keying/orientation against Pi interface harness.
THT assembly / verify,"JLC THT, consign, or hand-solder","3-position fixed screw terminal block, 5.08mm pitch, horizontal wire entry","Phoenix MKDS 1,5 series or footprint-compatible",No locked JLC candidate yet,,1,J2,J_PWR 5V,"TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","Verify pin pitch, drill size, body keepout, and wire-entry direction."
THT assembly / verify,"JLC THT, consign, or hand-solder","4-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,1,J14,J_SAFETY,"PhoenixContact_MCV_1,5_4-G-3.5_1x04_P3.50mm_Vertical",Order matching off-board plugs separately; verify latching/keying and orientation.
THT assembly / verify,"JLC THT, consign, or hand-solder",5V coil SPDT relay matching Omron G5LE-1 footprint,Omron G5LE-14 DC5 or footprint-compatible,JLC candidate C116963,,6,"K1,K2,K3,K4,K5,K6",G5LE BE | G5LE M | G5LE M2 | G5LE S | G5LE SP | G5LE T,Relay_SPDT_Omron-G5LE-1,"Verify coil voltage, contact rating, pinout, height, and wash/flux rules."
THT assembly / verify,"JLC THT, consign, or hand-solder","6-position vertical pluggable terminal header, 3.5mm pitch","Phoenix MCV 1,5/x-G-3,5 family or footprint-compatible",,,1,J13,J_LAMP_LED,"PhoenixContact_MCV_1,5_6-G-3.5_1x06_P3.50mm_Vertical",Order matching off-board plugs separately; verify latching/keying and orientation.
THT assembly / verify,"JLC THT, consign, or hand-solder","PC817/LTV-817 optocoupler, DIP-4, 7.62mm row spacing",PC817C/LTV-817C family,JLC candidates C5692981 or C50176486,,32,"U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35",PC817 AUX1 | PC817 AUX2 | PC817 AUX3 | PC817 BS | PC817 DIELL_L | PC817 DIELL_R | PC817 FOUL | PC817 GP | PC817 GS1 | PC817 GS10 | PC817 GS2 | PC817 GS3 | PC817 GS4 | PC817 GS5 | PC817 GS6 | PC817 GS7 | PC817 GS8 | PC817 GS9 | PC817 MAN_S | PC817 MAN_SWS | PC817 MAN_SWSR | PC817 MAN_T | PC817 OS | PC817 PBC | PC817 PBZ | PC817 SA | PC817 SB | PC817 SC | PC817 TA1 | PC817 TA2 | PC817 TB | PC817 TENTH,DIP-4_W7.62mm,Keep the wide isolation footprint; verify CTR bin is acceptable with Rev-B resistor values.
THT assembly / consign likely,Consign exact part unless stock match is proven,TMA-0505S isolated 5V-to-5V 1W SIP DC/DC converter,TRACO Power TMA 0505S,,,1,U37,TMA-0505S,Converter_DCDC_TRACO_TMA-05xxS_12xxS_Single_THT,"Do not substitute until pinout, isolation rating, output current, and footprint are checked."
Consign / assembly-house verify,Consign or separately source,"Raspberry Pi Pico module, SMD castellated footprint",Raspberry Pi Pico,JLC candidate C7203002,,1,A1,RP2040 Pico,RaspberryPi_Pico_SMD,Verify assembly house will place module; otherwise hand-solder after SMT/THT assembly.
